id,title,description,availability,condition,price,link,image_link,brand
"69e3585393621137e26e18cd","Roasted Makana - Classic Masala","Light and crispy roasted makana with a balanced Indian masala blend. A tasty daily snack that combines flavor with nutrition.","in stock","new","269.00 INR","https://villagecrunch.me/product/69e3585393621137e26e18cd","https://villagecrunch.me/Product_Images/Makhana.jpg","VillageCrunch"
"69e3585293621137e26e18ca","Pure Natural Makhana (Lotus Seeds)","Premium quality, handpicked lotus seeds (fox nuts) in their pure, unroasted form. Perfect for home roasting or cooking.","in stock","new","199.00 INR","https://villagecrunch.me/product/69e3585293621137e26e18ca","https://villagecrunch.me/Product_Images/Makhana.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d6","Premium Raisins (Kishmish)","Sweet and juicy Afghan raisins. Natural source of energy, perfect for all ages.","in stock","new","299.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d6","https://villagecrunch.me/Product_Images/Raisins.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d8","Roasted Makhana","Crunchy roasted fox nuts with light salt. Perfect guilt-free snack, low in calories and high in nutrition.","in stock","new","249.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d8","https://villagecrunch.me/Product_Images/Roasted_makhana.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d9","Roasted Makhana - Peri Peri","Spicy peri peri flavored roasted fox nuts. Crunchy, tasty, and healthy snacking option.","in stock","new","299.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d9","https://villagecrunch.me/Product_Images/Peri_Peri_Makhana.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d7","Mixed Dry Fruits Premium Pack","Perfect blend of almonds, cashews, raisins, and pistachios. Ideal for gifting and daily consumption.","in stock","new","899.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d7","https://villagecrunch.me/Product_Images/MixDry.jpg","VillageCrunch"
"697a51ed6d805b30e09a52da","Traditional Bihari Thekua","Authentic Bihari thekua made with jaggery and wheat flour. Traditional recipe passed down through generations. Perfect for festivals and daily consumption.","in stock","new","199.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52da","https://villagecrunch.me/thekua.jpg","VillageCrunch"
"697a51ed6d805b30e09a52dc","Jaggery Thekua","Pure jaggery-sweetened Bihari thekua made with the finest quality gur. Rich, deep flavor with traditional taste. Completely natural with no added sugar or artificial sweeteners.","in stock","new","229.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52dc","https://villagecrunch.me/thekua.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d3","Premium Cashew Nuts (Kaju Whole)","Whole cashews from Kerala, creamy and delicious. Grade A quality, perfect for snacking, cooking, and making sweets.","in stock","new","749.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d3","https://villagecrunch.me/Product_Images/cashew.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d4","Premium Walnuts (Akhrot)","Fresh Kashmir walnuts, rich in omega-3 fatty acids. Perfect for brain health and overall wellness.","in stock","new","699.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d4","https://villagecrunch.me/Product_Images/Walnuts.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d5","Premium Pistachios (Pista)","Iranian pistachios with natural flavor. Rich in antioxidants and perfect for healthy snacking.","in stock","new","899.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d5","https://villagecrunch.me/Product_Images/pistacho.jpg","VillageCrunch"
"697a51ed6d805b30e09a52db","Dry Fruits Thekua","Premium Bihari thekua enriched with mixed dry fruits including almonds, cashews, and raisins. Traditional recipe with a nutritious twist. Perfect for special occasions and gifting.","in stock","new","299.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52db","https://villagecrunch.me/thekua.jpg","VillageCrunch"
"697a51ed6d805b30e09a52d2","Premium California Almonds (Badam)","Rich, crunchy California almonds packed with nutrition. Perfect for daily snacking, cooking, and gifting. Grade A quality handpicked almonds.","in stock","new","599.00 INR","https://villagecrunch.me/product/697a51ed6d805b30e09a52d2","https://villagecrunch.me/Product_Images/almond.jpg","VillageCrunch"
